question,option1,option2,option3,option4,correct_answer
What is 1 + 1?,1,2,4,3,2
What is 2 + 2?,2,4,5,5,4
What is 3 + 3?,3,6,6,7,6
What is 4 + 4?,4,8,7,9,8
What is 5 + 5?,5,10,8,11,10
What is 6 + 6?,6,12,9,13,12
What is 7 + 7?,7,14,10,15,14
What is 8 + 8?,8,16,11,17,16
What is 9 + 9?,9,18,12,19,18
What is 10 + 10?,10,20,13,21,20
What is 11 + 11?,11,22,14,23,22
What is 12 + 12?,12,24,15,25,24
What is 13 + 13?,13,26,16,27,26
What is 14 + 14?,14,28,17,29,28
What is 15 + 15?,15,30,18,31,30
What is 16 + 16?,16,32,19,33,32
What is 17 + 17?,17,34,20,35,34
What is 18 + 18?,18,36,21,37,36
What is 19 + 19?,19,38,22,39,38
What is 20 + 20?,20,40,23,41,40
What is 21 + 21?,21,42,24,43,42
What is 22 + 22?,22,44,25,45,44
What is 23 + 23?,23,46,26,47,46
What is 24 + 24?,24,48,27,49,48
What is 25 + 25?,25,50,28,51,50
What is 26 + 26?,26,52,29,53,52
What is 27 + 27?,27,54,30,55,54
What is 28 + 28?,28,56,31,57,56
What is 29 + 29?,29,58,32,59,58
What is 30 + 30?,30,60,33,61,60
What is 31 + 31?,31,62,34,63,62
What is 32 + 32?,32,64,35,65,64
What is 33 + 33?,33,66,36,67,66
What is 34 + 34?,34,68,37,69,68
What is 35 + 35?,35,70,38,71,70
What is 36 + 36?,36,72,39,73,72
What is 37 + 37?,37,74,40,75,74
What is 38 + 38?,38,76,41,77,76
What is 39 + 39?,39,78,42,79,78
What is 40 + 40?,40,80,43,81,80
What is 41 + 41?,41,82,44,83,82
What is 42 + 42?,42,84,45,85,84
What is 43 + 43?,43,86,46,87,86
What is 44 + 44?,44,88,47,89,88
What is 45 + 45?,45,90,48,91,90
What is 46 + 46?,46,92,49,93,92
What is 47 + 47?,47,94,50,95,94
What is 48 + 48?,48,96,51,97,96
What is 49 + 49?,49,98,52,99,98
What is 50 + 50?,50,100,53,101,100
